商品名,一级分类,二级分类,颜色,尺码,价格（元）,面料/版型,一句话,长度,数据性质,图片文件名,图片相对路径,商品ID,原始商品标题,来源商品链接,图片来源,采集图片地址,评测分组
满天星立领夹克,上装,夹克,黑色,M/L/XL,199,涤纶梭织，立领短款,满天星立领夹克，涤纶梭织，立领短款,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1010736020833.jpg,夹克/SKU_1010736020833.jpg,1010736020833,lemanism美式潮流满天星立领夹克情...,https://item.taobao.com/item.htm?id=1010736020833,淘宝搜索页主图,https://img.alicdn.com/imgextra/i3/2218911982206/O1CN01AlKFC8KDgKF2vH2e_!!2218911982206-0-alimamacc.jpg,基础
轻薄连帽羽绒服,上装,羽绒棉服,黑色,M/L/XL/2XL,299,鸭绒填充，轻薄连帽,轻薄连帽羽绒服，鸭绒填充，轻薄连帽,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_983641125240.jpg,羽绒棉服/SKU_983641125240.jpg,983641125240,鸭鸭排骨轻薄羽绒服男女款2026冬季连帽情侣外套男装休闲保暖衣服,https://item.taobao.com/item.htm?id=983641125240,淘宝搜索页主图,https://img.alicdn.com/imgextra/i2/2219931215439/O1CN01CQp1JYaKsEK2vH2e_!!2219931215439-0-alimamacc.jpg,基础
立领短款羽绒服,上装,羽绒棉服,深蓝,M/L/XL,429,轻薄鸭绒，防风立领,立领短款羽绒服，轻薄鸭绒，防风立领,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_931263887745.jpg,羽绒棉服/SKU_931263887745.jpg,931263887745,坦博尔秋冬季轻薄短款羽绒服男士防风立领百搭保暖便携高品质外套,https://item.taobao.com/item.htm?id=931263887745,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01YOgfVoQTx3G2vH2e_!!349907764.jpg,基础
长款加厚羽绒服,上装,羽绒棉服,黑色,L/XL/2XL,669,鸭绒填充，中长款,长款加厚羽绒服，鸭绒填充，中长款,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1071468628554.jpg,羽绒棉服/SKU_1071468628554.jpg,1071468628554,【冰壳3.0】王一博明星同款鸭鸭长款羽绒服冬季新款加厚男女同款,https://item.taobao.com/item.htm?id=1071468628554,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01gEnHM6tnioJ1chua_!!4611686018427382586-0-item_pic.jpg,基础
冰蓝水洗直筒牛仔裤,下装,牛仔裤,浅蓝,29/30/31/32,135,丹宁水洗，直筒版型,冰蓝水洗直筒牛仔裤，丹宁水洗，直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_930228879618.png,牛仔裤/SKU_930228879618.png,930228879618,Sellscream美式冰蓝高街clea...,https://item.taobao.com/item.htm?id=930228879618,淘宝搜索页主图,http://img.alicdn.com/img/i1/1974550165/O1CN01Xo7d471D5cPaAcUJN_!!4611686018427387541-2-saturn_solar.png,混淆对1：牛仔裤 vs 休闲长裤
做旧牛仔七分裤,下装,牛仔裤,浅蓝,29/30/31/32,98,丹宁做旧，宽松阔腿,做旧牛仔七分裤，丹宁做旧，宽松阔腿,七分,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_913812659151.jpg,牛仔裤/SKU_913812659151.jpg,913812659151,美式做旧解构牛仔七分裤男夏季新款宽松阔腿休闲短裤男生八分裤子,https://item.taobao.com/item.htm?id=913812659151,淘宝搜索页主图,http://img.alicdn.com/img/O1CN010bFuwh23cSpCKRSGg_!!4611686018427386012-0-item_pic.jpg,混淆对1：牛仔裤 vs 休闲长裤；混淆对3：短裤 vs 七分裤
闪电纹牛仔七分裤,下装,牛仔裤,深蓝,30/32/34,108,丹宁水洗，宽松阔腿,闪电纹牛仔七分裤，丹宁水洗，宽松阔腿,七分,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_907597464657.jpg,牛仔裤/SKU_907597464657.jpg,907597464657,DAL 美式复古弯刀牛仔短裤男2026年夏季闪电纹做旧宽松阔腿七分裤,https://item.taobao.com/item.htm?id=907597464657,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01TGmHaT2Fnhvwr6Rhc_!!2214628418925.jpg,混淆对1：牛仔裤 vs 休闲长裤；混淆对3：短裤 vs 七分裤
弯刀阔腿休闲长裤,下装,休闲长裤,卡其,29/30/31/32,176,棉混纺，阔腿版型,弯刀阔腿休闲长裤，棉混纺，阔腿版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1039481943532.jpg,休闲长裤/SKU_1039481943532.jpg,1039481943532,猫人美式弯刀阔腿裤子男款秋春2026新款...,https://item.taobao.com/item.htm?id=1039481943532,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01UMWzObWhxfK2vH2e_!!1018032328.jpg,混淆对1：牛仔裤 vs 休闲长裤
户外黑色休闲裤,下装,休闲长裤,黑色,30/32/34,149,弹力梭织，直筒版型,户外黑色休闲裤，弹力梭织，直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_886272978479.jpg,休闲长裤/SKU_886272978479.jpg,886272978479,猫人休闲裤男士秋春款2026新款户外黑色...,https://item.taobao.com/item.htm?id=886272978479,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01v0M89o2KrtjFACzqF_!!4611686018427386875-0-item_pic.jpg,混淆对1：牛仔裤 vs 休闲长裤
Cleanfit垂感休闲长裤,下装,休闲长裤,深灰,29/30/31/32,149,垂感面料，直筒版型,Cleanfit垂感休闲长裤，垂感面料，直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_970014816814.jpg,休闲长裤/SKU_970014816814.jpg,970014816814,CHOR秋冬季cleanfit高级感休闲...,https://item.taobao.com/item.htm?id=970014816814,淘宝搜索页主图,http://img.alicdn.com/img/O1CN017zfcmB1I9Lk2M1Cs3_!!2219180070850.jpg,混淆对1：牛仔裤 vs 休闲长裤
轻商务直筒西裤,下装,西裤,深灰,29/30/31/32,249,垂感西装料，直筒版型,轻商务直筒西裤，垂感西装料，直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1071378830352.jpg,西裤/SKU_1071378830352.jpg,1071378830352,【雾感织质】裤线定型工艺｜男士轻商务老钱风阔腿休闲直筒西裤秋,https://item.taobao.com/item.htm?id=1071378830352,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01mYGmjM1xdwVzBTWmH_!!1617356467.jpg,基础
黑色弯刀阔腿西裤,下装,西裤,黑色,29/30/31/32,158,垂感西装料，阔腿版型,黑色弯刀阔腿西裤，垂感西装料，阔腿版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1066501207269.jpg,西裤/SKU_1066501207269.jpg,1066501207269,THREENINE高级感黑色弯刀阔腿西裤男小众解构垂感廓形拖地长裤潮,https://item.taobao.com/item.htm?id=1066501207269,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01IcNDIB1y2wI2R3rs_!!3041741721.png,基础
多口袋工装七分裤,下装,工装裤,军绿,30/32/34,79,薄款棉布，多口袋版型,多口袋工装七分裤，薄款棉布，多口袋版型,七分,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_910351452919.jpg,工装裤/SKU_910351452919.jpg,910351452919,纯棉工装裤男款夏季薄款美式潮流多口袋七分裤男士外穿休闲短裤男,https://item.taobao.com/item.htm?id=910351452919,淘宝搜索页主图,http://img.alicdn.com/img/i3/31486981/O1CN01sqRm0Y21RM4VnHgeB_!!4611686018427384837-0-saturn_solar.jpg,混淆对2：运动裤 vs 工装裤；混淆对3：短裤 vs 七分裤
迷彩微喇工装裤,下装,工装裤,迷彩,30/32/34,58,厚实棉布，微喇版型,迷彩微喇工装裤，厚实棉布，微喇版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_887705390530.jpg,工装裤/SKU_887705390530.jpg,887705390530,美式复古迷彩微喇工装裤男款秋季vibe高...,https://item.taobao.com/item.htm?id=887705390530,淘宝搜索页主图,https://img.alicdn.com/tfscom/O1CN013Qz3tw1ONReVpyNcu_!!6000000001693-2-scs.png,混淆对2：运动裤 vs 工装裤
纯棉直筒工装裤,下装,工装裤,卡其,30/32/34,198,重磅纯棉，直筒版型,纯棉直筒工装裤，重磅纯棉，直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1010384888451.jpg,工装裤/SKU_1010384888451.jpg,1010384888451,毛里叔叔2026秋冬新款重磅纯棉直筒工装...,https://item.taobao.com/item.htm?id=1010384888451,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01POouD71msdP5ljfob_!!321235010.jpg,混淆对2：运动裤 vs 工装裤
宝蓝色针织运动裤,下装,运动裤,宝蓝,M/L/XL,99,针织面料，束脚抽绳,宝蓝色针织运动裤，针织面料，束脚抽绳,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1024630924800.png,运动裤/SKU_1024630924800.png,1024630924800,2026夏秋新款宝蓝色针织运动裤男生裤子...,https://item.taobao.com/item.htm?id=1024630924800,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01PideyC1M0svFyZsym_!!4611686018427387245-2-item_pic.png,混淆对2：运动裤 vs 工装裤
束脚卫裤运动长裤,下装,运动裤,黑色,M/L/XL/2XL,99,卫裤面料，束脚版型,束脚卫裤运动长裤，卫裤面料，束脚版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1017872059472.jpg,运动裤/SKU_1017872059472.jpg,1017872059472,帛先生秋季束脚裤卫裤男款宽松休闲裤春秋运动裤男士裤子抗皱长裤,https://item.taobao.com/item.htm?id=1017872059472,淘宝搜索页主图,http://img.alicdn.com/img/O1CN015TH380249toDywSEW_!!4611686018427387141-0-item_pic.jpg,混淆对2：运动裤 vs 工装裤
冰丝纯白五分短裤,下装,短裤,白色,M/L/XL,68,冰丝面料，宽松五分版型,冰丝纯白五分短裤，冰丝面料，宽松五分版型,短裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_771725028809.jpg,短裤/SKU_771725028809.jpg,771725028809,2024夏季新款冰丝短裤男生休闲宽松百搭五分中裤薄款纯白西裤夏天,https://item.taobao.com/item.htm?id=771725028809,淘宝搜索页主图,http://img.alicdn.com/img/i2/168120008/O1CN01auE5mE1Bvi6ljNQxJ_!!0-saturn_solar.jpg,混淆对3：短裤 vs 七分裤
速干运动休闲短裤,下装,短裤,黑色,M/L/XL,119,轻薄速干，直筒宽松,速干运动休闲短裤，轻薄速干，直筒宽松,短裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1038033650188.jpg,短裤/SKU_1038033650188.jpg,1038033650188,HEA 街头潮牌速干运动休闲短裤男夏季薄款可收纳设计直筒宽松裤子,https://item.taobao.com/item.htm?id=1038033650188,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01AzjhPA1ufpGps5s7e_!!407456065.jpg,混淆对3：短裤 vs 七分裤
白色冰丝运动短裤,下装,短裤,白色,M/L/XL,118,冰丝速干，五分版型,白色冰丝运动短裤，冰丝速干，五分版型,短裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_717349630875.jpg,短裤/SKU_717349630875.jpg,717349630875,男士白色运动短裤男潮牌美式冰丝速干裤2026新款半截裤夏季五分裤,https://item.taobao.com/item.htm?id=717349630875,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01EyVGozLoMZC2vH2e_!!4611686018427385593-0-item_pic.jpg,混淆对3：短裤 vs 七分裤
藏青印花宽松短袖T恤,上装,T恤,深蓝,M/L/XL/2XL,49.9,重磅纯棉，宽松落肩版型,藏青印花宽松短袖T恤，重磅纯棉，宽松落肩版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1029663872065.webp,T恤/SKU_1029663872065.webp,1029663872065,美式潮牌纯棉藏青色短袖t恤男款2026夏季新款青少年宽松重磅体恤,https://item.taobao.com/item.htm?id=1029663872065,淘宝搜索页主图,https://img.alicdn.com/img/i2/5229553556/O1CN01jXpSvr1c8hXNImBql_!!4611686018427381652-0-saturn_solar.jpg,扩展批次：基础类别
白色亨利领亚麻短袖T恤,上装,T恤,白色,M/L/XL,178,天丝亚麻混纺，修身亨利领版型,白色亨利领亚麻短袖T恤，天丝亚麻混纺，修身亨利领版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1064825131769.webp,T恤/SKU_1064825131769.webp,1064825131769,ttelen.天丝亚麻 基础款丨凉感抗皱亨利领V领运动休闲简约短袖T恤,https://item.taobao.com/item.htm?id=1064825131769,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01IbRDInqtqGL2vH2e_!!2937234063.jpg,扩展批次：基础类别
卡其色立领亚麻长袖衬衫,上装,衬衫,卡其,M/L/XL,399,天丝亚麻混纺，轻薄宽松版型,卡其色立领亚麻长袖衬衫，天丝亚麻混纺，轻薄宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1064115284316.webp,衬衫/SKU_1064115284316.webp,1064115284316,CHINISM「天丝亚麻莱赛尔」刺绣轻薄长袖衬衫男透气休闲立领衬衣,https://item.taobao.com/item.htm?id=1064115284316,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01ALoSgZ1JR2iomLazD_!!4611686018427386832-0-item_pic.jpg,扩展批次：基础类别
白色宫廷扣短袖衬衫,上装,衬衫,白色,M/L/XL,159,轻薄混纺，宽松垂感版型,白色宫廷扣短袖衬衫，轻薄混纺，宽松垂感版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1047575432476.webp,衬衫/SKU_1047575432476.webp,1047575432476,CHICERRO西西里男装小众轻奢收褶宫廷扣短袖白色衬衫男宽松休闲潮,https://item.taobao.com/item.htm?id=1047575432476,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01HFDL531IkRrwjyP9k_!!2030700931.jpg,扩展批次：基础类别
白色冰丝免烫短袖衬衫,上装,衬衫,白色,M/L/XL/2XL/3XL,98,冰丝感抗皱面料，宽松版型,白色冰丝免烫短袖衬衫，冰丝感抗皱面料，宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_702938543604.webp,衬衫/SKU_702938543604.webp,702938543604,衬衫男短袖垂感冰丝夏季抗皱白衬衣大码宽松休闲高级半袖上衣海边,https://item.taobao.com/item.htm?id=702938543604,淘宝搜索页主图,https://gw.alicdn.com/imgextra/O1CN01HndcDSOeoRC1chua_!!3865870697-0-picasso.jpg,扩展批次：基础类别
浅灰重磅拉链开衫卫衣,上装,卫衣,浅灰,M/L/XL/2XL,138,420g棉质空气层，宽松立领版型,浅灰重磅拉链开衫卫衣，420g棉质空气层，宽松立领版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_971319657197.webp,卫衣/SKU_971319657197.webp,971319657197,WIE STUDIO420g重磅卫衣外套秋季短款夹克男运动简约休闲纯色开衫,https://item.taobao.com/item.htm?id=971319657197,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01oZHHy31VXFPhtRHXw_!!2214609262662.jpg,扩展批次：基础类别
灰黑刺绣拼接棒球夹克,上装,夹克,灰黑,M/L/XL,399,棉混纺拼接，宽松棒球服版型,灰黑刺绣拼接棒球夹克，棉混纺拼接，宽松棒球服版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_875813408998.webp,夹克/SKU_875813408998.webp,875813408998,【Achock官方店】翻领刺绣棒球服外套春季新款复古情侣立领夹克潮,https://item.taobao.com/item.htm?id=875813408998,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01cREcpTuV8bC1chua_!!2212497512626.jpg,扩展批次：基础类别
深灰三防立领工装夹克,上装,夹克,深灰,M/L/XL/2XL,88.81,三防梭织面料，宽松短款版型,深灰三防立领工装夹克，三防梭织面料，宽松短款版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_964323165122.webp,夹克/SKU_964323165122.webp,964323165122,cleanfit短款工装外套男秋季机能三防立领冲锋衣正肩美式潮牌夹克,https://item.taobao.com/item.htm?id=964323165122,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01kFIa7G26W0783eL1u_!!4611686018427384820-0-item_pic.jpg,扩展批次：基础类别
黑色微喇直筒牛仔裤,下装,牛仔裤,黑色,28/29/30/31/32/33,78,水洗丹宁，微喇直筒版型,黑色微喇直筒牛仔裤，水洗丹宁，微喇直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_833587835930.webp,牛仔裤/SKU_833587835930.webp,833587835930,cleanfit初秋薄款黑色弯刀微喇牛仔裤男vibe美式潮牌百搭直筒裤子,https://item.taobao.com/item.htm?id=833587835930,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01MEjPbw1QbIt3ncaEh_!!4611686018427382442-0-item_pic.jpg,混淆对1：牛仔裤 vs 休闲裤
冰蓝水洗直筒牛仔裤,下装,牛仔裤,浅蓝,28/29/30/31/32/33/34,179,水洗丹宁，宽松直筒版型,冰蓝水洗直筒牛仔裤，水洗丹宁，宽松直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_897352973681.webp,牛仔裤/SKU_897352973681.webp,897352973681,POPLAR CLASSIC水洗牛王奶油复古冰蓝cleanfit直筒A字牛仔长裤男,https://item.taobao.com/item.htm?id=897352973681,淘宝搜索页主图,https://img.alicdn.com/img/i2/483200154/O1CN01dE5jFG1D0a2fZuv9m_!!4611686018427382938-0-saturn_solar.jpg,混淆对1：牛仔裤 vs 休闲裤
咖色亚麻宽松休闲长裤,下装,休闲长裤,棕色,29/30/31/32/33/34,239,亚麻混纺，宽松直筒版型,咖色亚麻宽松休闲长裤，亚麻混纺，宽松直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1038712211658.webp,休闲长裤/SKU_1038712211658.webp,1038712211658,Dickies咖色亚麻休闲裤男士2026秋季新款宽松直筒阔腿垂感长裤子,https://item.taobao.com/item.htm?id=1038712211658,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01GXRS5f2HMLaZnSdqS_!!2222059889136.jpg,混淆对1：牛仔裤 vs 休闲裤
棕色垂感直筒西裤,下装,西裤,棕色,29/30/31/32/33/34,99,垂感混纺面料，宽松直筒版型,棕色垂感直筒西裤，垂感混纺面料，宽松直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_826030272614.webp,西裤/SKU_826030272614.webp,826030272614,直筒休闲裤春秋季垂感裤子男阔腿西裤百搭男生高级感西装长裤男款,https://item.taobao.com/item.htm?id=826030272614,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01735dHM26zll6twVIm_!!0-item_pic.jpg,扩展批次：基础类别
深灰工字褶垂感西裤,下装,西裤,深灰,28/29/30/31/32,251.1,TR垂感面料，A字廓形版型,深灰工字褶垂感西裤，TR垂感面料，A字廓形版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_895116684374.webp,西裤/SKU_895116684374.webp,895116684374,Stay the Night立体工字褶A字廓形弯刀TR西裤通勤休闲裤,https://item.taobao.com/item.htm?id=895116684374,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01Y3RIgk1R1rlw4CkeZ_!!2217295072052.jpg,扩展批次：基础类别
黑色立褶微喇弹力西裤,下装,西裤,黑色,28/29/30/31/32/33/34,329,抗皱弹力面料，立褶微喇版型,黑色立褶微喇弹力西裤，抗皱弹力面料，立褶微喇版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_779219876452.webp,西裤/SKU_779219876452.webp,779219876452,【林秋楠同款】haonanhuang立褶微喇抗皱弹力西裤男女,https://item.taobao.com/item.htm?id=779219876452,淘宝搜索页主图,https://img.alicdn.com/img/i1/833010141/O1CN01EfTqNl1CucnTbaReM_!!0-saturn_solar.jpg,扩展批次：基础类别
深咖多口袋直筒工装裤,下装,工装裤,深咖,29/30/31/32/33/34,218,厚实纯棉，宽松多口袋版型,深咖多口袋直筒工装裤，厚实纯棉，宽松多口袋版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1069035321066.webp,工装裤/SKU_1069035321066.webp,1069035321066,DPX工装风纯棉多口袋工装裤男秋季宽松垂感男士男装直筒休闲裤子,https://item.taobao.com/item.htm?id=1069035321066,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01gwOmmLhR1fC2vH2e_!!710919838.jpg,混淆对2：运动裤 vs 工装裤
深灰速干多口袋工装裤,下装,工装裤,深灰,29/30/31/32/33/34,299,速干梭织面料，宽松直筒版型,深灰速干多口袋工装裤，速干梭织面料，宽松直筒版型,长裤,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为人工规范化补齐）,SKU_1049901371372.webp,工装裤/SKU_1049901371372.webp,1049901371372,Dickies户外速干冲锋工装裤男士2026秋季新款宽松直筒休闲长裤子,https://item.taobao.com/item.htm?id=1049901371372,淘宝搜索页主图,https://img.alicdn.com/img/O1CN01myfTrv2HMLb7GWjd0_!!4611686018427380208-0-item_pic.jpg,混淆对2：运动裤 vs 工装裤
